path,class,source,split
E:\Lavindu\HCI\SignAlphaSet\A\A_680.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_421.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_267.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_656.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_870.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_240.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_946.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_343.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_651.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_769.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_956.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_560.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_432.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_299.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_632.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_533.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\asl_dataset\a\hand1_a_top_seg_4_cropped.jpeg,A,asl_dataset,train
E:\Lavindu\HCI\asl_dataset\a\hand1_a_right_seg_4_cropped.jpeg,A,asl_dataset,train
E:\Lavindu\HCI\SignAlphaSet\A\A_565.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_914.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_4.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_890.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_381.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_984.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_78.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_111.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_714.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_145.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_94.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\asl_dataset\a\hand4_a_bot_seg_2_cropped.jpeg,A,asl_dataset,train
E:\Lavindu\HCI\SignAlphaSet\A\A_611.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_688.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_445.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_512.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_517.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_989.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_278.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_42.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_804.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_654.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_987.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_520.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_148.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_630.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_52.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_621.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_638.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_814.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_143.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_134.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_137.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_1.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_345.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_313.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_19.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_162.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_928.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_689.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_195.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_582.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_546.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\asl_dataset\a\hand5_a_bot_seg_1_cropped.jpeg,A,asl_dataset,train
E:\Lavindu\HCI\SignAlphaSet\A\A_504.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\asl_dataset\a\hand3_a_dif_seg_4_cropped.jpeg,A,asl_dataset,train
E:\Lavindu\HCI\SignAlphaSet\A\A_102.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_18.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_322.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_515.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_9.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_247.jpg,A,SignAlphaSet,train
